id,ip,mask,mac_add,network,system_name,snmp_host,vlan,port_name,desc,user,available,created_at,updated_at,ip_group_id
1,192.168.1.1,255.255.255.0,aa83-5763-0606,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/1,ligoudan01,ligoudan01,,,,1
2,192.168.1.2,255.255.255.0,aa83-5763-0607,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/2,ligoudan02,ligoudan02,,,,1
3,192.168.1.3,255.255.255.0,aa83-5763-0608,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/3,ligoudan03,ligoudan03,,,,1
4,192.168.1.4,255.255.255.0,aa83-5763-0609,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/4,ligoudan04,ligoudan04,,,,1
5,192.168.1.5,255.255.255.0,aa83-5763-0610,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/5,ligoudan05,ligoudan05,,,,1
6,192.168.1.6,255.255.255.0,aa83-5763-0611,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/6,ligoudan06,ligoudan06,,,,1
7,192.168.1.7,255.255.255.0,aa83-5763-0612,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/7,ligoudan07,ligoudan07,,,,1
8,192.168.1.8,255.255.255.0,aa83-5763-0613,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/8,ligoudan08,ligoudan08,,,,1
9,192.168.1.9,255.255.255.0,aa83-5763-0614,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/9,ligoudan09,ligoudan09,,,,1
10,192.168.1.10,255.255.255.0,aa83-5763-0615,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/10,ligoudan10,ligoudan10,,,,1
11,192.168.1.11,255.255.255.0,aa83-5763-0616,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/11,ligoudan11,ligoudan11,,,,1
12,192.168.1.12,255.255.255.0,aa83-5763-0617,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/12,ligoudan12,ligoudan12,,,,1
13,192.168.1.13,255.255.255.0,aa83-5763-0618,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/13,ligoudan13,ligoudan13,,,,1
14,192.168.1.14,255.255.255.0,aa83-5763-0619,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/14,ligoudan14,ligoudan14,,,,1
15,192.168.1.15,255.255.255.0,aa83-5763-0620,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/15,ligoudan15,ligoudan15,,,,1
16,192.168.1.16,255.255.255.0,aa83-5763-0621,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/16,ligoudan16,ligoudan16,,,,1
17,192.168.1.17,255.255.255.0,aa83-5763-0622,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/17,ligoudan17,ligoudan17,,,,1
18,192.168.1.18,255.255.255.0,aa83-5763-0623,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/18,ligoudan18,ligoudan18,,,,1
19,192.168.1.19,255.255.255.0,aa83-5763-0624,192.168.1.0/24,SW11,10.10.10.11,101,GigabitEthernet1/0/19,ligoudan19,ligoudan19,,,,1
